,Label,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,AVNN,SDNN,RMSSD,SKEW,KURT,MO,AMO,M0,R1,DELp,DEL0,DELn
49,2,590.6563016870657,58.68396184969276,13.658692409669795,29,0.959311941779689,164,5.425074429374793,13.658692986880592,592.0,424.0,0.02312460384807181,0.09935382333529046,102.59955004930868,132.7433628318584,68.49315068493149,10.344089147596787,392.6166381058165,71.85692271667979,5.463866573494114,84.52938363392859,15.470616366071418,667.9176295593243,203.44406873682786,590.6563016870657,58.68396184969276,13.658692986880592,0.15769999675976246,0.3325292167726728,624.0,3.208733046642408,321,0.9732249963072372,0.0943084050297816,0.8097286565188617,0.09596293845135673
50,0,529.9045092838196,54.6295226664065,21.71790086116759,25,0.7368110816386678,56,1.650456822870616,21.717906271788465,512.0,1212.0,0.04098456588176765,0.1030931454805693,114.28933113739807,150.0,37.22084367245658,10.673202838929736,916.7457684067322,340.64226622689836,2.6912273058801732,72.90873963770838,27.09126036229162,1494.5652978403734,237.1772632067432,529.9045092838196,54.6295226664065,21.717906271788465,3.0894838058942207,49.00735903279497,504.0,6.2481579722959015,892,0.9210803651758434,0.05512971698113208,0.8897405660377359,0.05512971698113208
51,1,669.4917733089579,92.53473925041187,47.79577107042571,455,16.636197440585008,651,23.80255941499086,47.79577377992382,668.0,752.0,0.07139112933933986,0.13821639479311246,91.30560238531669,182.9268292682927,55.555555555555564,12.46561028254338,1001.9123759981347,1195.8607737330522,0.8378169081259522,45.587615633609865,54.412384366390114,2553.2143467788765,355.4411970476898,669.4917733089579,92.53473925041187,47.79577377992382,0.5879844141315552,1.1645720625038676,744.0,3.1809872029250466,735,0.8665961667898107,0.17483540599853695,0.6671543525969276,0.15801024140453548
52,0,519.5397292525015,89.08308006312308,69.42672388103284,1579,46.4685108887581,2520,74.16127133608005,69.42675408733105,508.0,912.0,0.13363127048478127,0.17146538570071088,118.68857691541794,178.5714285714286,48.07692307692307,19.214000579039084,2543.7130253623623,2755.258419451496,0.9232212148974226,48.0039013581006,51.996098641899394,5985.675096517014,686.703651703156,519.5397292525015,89.08308006312308,69.42675408733105,0.9703808483183974,2.8803152205176694,488.0,1.824602707474985,334,0.6959839538449504,0.38681189284662937,0.2396231969384751,0.3735649102148955
53,0,904.5915279878972,77.67198987365715,33.713066156867825,89,4.48814926878467,341,17.19616742309632,33.71308572860243,908.0,1020.0,0.03726884973551674,0.08586415798788727,66.95444090546745,194.80519480519482,45.180722891566255,7.875792854069861,879.6579574510013,440.9915129755458,1.9947276343610283,66.60798169001549,33.392018309984486,1904.2576566309353,583.6081862043883,904.5915279878972,77.67198987365715,33.71308572860243,-1.3911510446112811,7.866335653287859,880.0,2.723146747352496,270,0.9058944547223484,0.16599394550958627,0.6700302724520686,0.16397578203834512
54,0,879.4264569842737,135.04234653280028,96.14418762830499,1059,48.98242368177613,1198,55.41165587419057,96.14419218969677,888.0,944.0,0.10932601745846277,0.1535572934613396,70.18185685973037,153.0612244897959,44.91017964071857,13.6260775971947,5129.615518635719,3284.536159948823,1.5617473118991771,60.96414367822094,39.03585632177906,10021.076026816396,1606.9243482318539,879.4264569842737,135.04234653280028,96.14419218969677,-0.2990177738567861,1.9074585690661312,904.0,2.4976873265494905,498,0.746808720145188,0.3095788986580287,0.3831559463211476,0.3072651550208237
55,0,931.8617125984252,139.06105998926282,108.74226777148405,900,44.291338582677156,1055,51.91929133858267,108.74263247764601,936.0,1500.0,0.116693958993578,0.14922928811132466,66.29161235565205,157.89473684210526,31.914893617021278,13.82576643600952,6316.579878783801,3805.8285913737855,1.6597121302574778,62.40194611199546,37.59805388800454,12016.867623221737,1894.4591530641494,931.8617125984252,139.06105998926282,108.74263247764601,-0.5948265865559428,3.941563616713276,932.0,2.706692913385827,26,0.6910235639432284,0.2909896602658789,0.40275726243229937,0.3062530773018218
56,0,1045.8336,258.58349471115343,153.92961684876119,845,45.06666666666667,1058,56.42666666666667,153.92979591501302,1032.0,1292.0,0.14718383107505156,0.24725108727731965,61.3503214087884,147.05882352941177,35.29411764705883,17.25848777109783,18408.56259636257,6512.777791596196,2.8265301205449047,73.86666330859569,26.133336691404327,36384.295340675955,11462.954952717182,1045.8336,258.58349471115343,153.92979591501302,0.24268871951418025,-0.2509902541116791,1036.0,1.28,189,0.82225662683845,0.3223052294557097,0.3767342582710779,0.30096051227321235
57,0,930.7518355359764,137.8907806034343,110.28658032667327,863,42.241801272638284,973,47.62604013705336,110.28658243162049,888.0,1008.0,0.11849193116886154,0.14814988844371116,65.84879057054346,140.18691588785046,41.78272980501393,9.87444807444557,7950.638759126156,4385.457648866145,1.8129553163469232,64.45019961075452,35.549800389245476,14570.135773253154,2234.0393652608514,930.7518355359764,137.8907806034343,110.28658243162049,0.8659867512086429,1.912954659768688,880.0,3.9647577092511015,69,0.6802304638141701,0.2943192948090108,0.4397649363369246,0.26591576885406465
58,2,1077.7703180212013,132.4783266294304,85.99647434669441,648,38.16254416961131,1080,63.60424028268551,85.99650539007185,1103.0,1052.0,0.07979112427957973,0.12291888579067768,56.851635439721136,182.9268292682927,43.47826086956522,11.051226997330463,5556.543964850269,1320.4820187998198,4.207966398437281,80.79864723589493,19.201352764105067,10500.507926029695,3623.481942379608,1077.7703180212013,132.4783266294304,85.99650539007185,-0.9603759281482492,4.5580552989574885,1116.0,3.0035335689045937,20,0.789492640625604,0.31585150265173834,0.33824395992928696,0.34590453741897464
59,2,899.2146752602874,141.539081283445,76.31794231683621,527,26.12791274169559,1043,51.71046108081309,76.31794396751376,908.0,1636.0,0.08487177318966987,0.1574029930533273,68.34366456085222,187.5,30.67484662576687,11.15883217982109,6741.687728448607,1144.906649305055,5.888416957435554,85.48287645508199,14.517123544917984,10669.813173049806,2783.2187952961426,899.2146752602874,141.539081283445,76.31794396751376,1.4587616558800731,10.556959286473278,1012.0,2.429350520575112,631,0.8538585402308322,0.3273809523809524,0.40128968253968256,0.27132936507936506
