,Label,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,AVNN,SDNN,RMSSD,SKEW,KURT,MO,AMO,M0,R1,DELp,DEL0,DELn
Rh2004,0,1239.0355466130113,238.2068486891926,76.97755120772153,105,7.042253521126761,349,23.40710932260228,76.97882564261056,1304.0,1540.0,0.06212802034052813,0.19225182791595236,50.57361657536778,182.9268292682927,32.11991434689507,11.918685170751326,5345.222208522251,1131.3939935277854,4.7244569434696935,82.53109404306424,17.46890595693576,11113.606806765652,4636.9906047156155,1239.0355466130113,238.2068486891926,76.97882564261056,-0.3789169257269506,-0.9136482476217607,1424.0,1.4084507042253522,74,0.9471026643069657,0.17315436241610738,0.6510067114093959,0.17583892617449665
Rh2005,0,863.1716346153846,76.6016278693093,37.529581794666896,244,11.73076923076923,538,25.865384615384617,37.529747700750164,888.0,552.0,0.04347889364723253,0.08874437573871591,70.17397476614707,112.78195488721805,55.35055350553505,7.544132408911654,360.16161784482995,298.3568565581047,1.2071504640440158,54.69271278552681,45.30728721447319,759.4865168765739,100.96804247363917,863.1716346153846,76.6016278693093,37.529747700750164,-1.682485052889241,2.887562340846115,892.0,7.163461538461538,408,0.8784290477215639,0.20202020202020202,0.656084656084656,0.1418951418951419
Rh2006,0,1334.8546255506608,113.85133201466236,86.77647854509704,627,46.0352422907489,966,70.9251101321586,86.77647859486748,1360.0,1004.0,0.06500818660988647,0.08529118439972132,45.31552083466315,69.44444444444444,32.11991434689507,4.3535930987619595,3145.1477818922062,1271.1726943134809,2.474209677380459,71.21647531780533,28.783524682194667,6960.552286937059,2544.2318107313718,1334.8546255506608,113.85133201466236,86.77647859486748,-0.9229333955094421,2.1239898814449862,1404.0,3.671071953010279,15,0.7100528627762077,0.3761939750183688,0.2490815576781778,0.3747244673034533
Rh2007,0,754.4658567239212,71.29061089461919,35.55376646084489,113,4.733975701717637,323,13.531629660661919,35.55376788371739,756.0,988.0,0.04712442261880572,0.09449150052221156,80.27493159634486,174.41860465116278,45.04504504504504,8.281198513587274,1073.8887604793795,526.3352122120631,2.0403133508132156,67.10865346387659,32.8913465361234,2080.9068830093906,480.68291031794826,754.4658567239212,71.29061089461919,35.55376788371739,0.42942009199497866,8.450423295453179,792.0,2.974444909928781,528,0.8759937634067516,0.14585079631181894,0.7103939647946353,0.1437552388935457
Rh2008,0,697.1713178294574,91.7491401692621,25.006933849547302,114,4.4186046511627906,518,20.07751937984496,25.00698622819508,680.0,764.0,0.03586921261484298,0.13160200057413413,87.42378805736224,156.25,52.26480836236934,10.512377682577672,997.064741065567,213.75932507321835,4.664426876928271,82.34596329466108,17.654036705338918,1950.1522898499197,739.3282237111343,697.1713178294574,91.7491401692621,25.00698622819508,1.0926599834512636,1.2217012506925515,672.0,3.1395348837209305,156,0.9629187508254692,0.15509887553315238,0.6746801085692129,0.17022101589763475
Rh2009,0,869.3827636013481,125.3489439792508,84.252864626128,738,35.53201733269138,1333,64.17910447761194,84.25293371792505,896.0,1276.0,0.09691120786535272,0.14418153801439876,71.02230350894398,200.0,38.07106598984772,15.064890624498187,3406.6789645851854,2109.717078485804,1.6147563098983124,61.75551824028719,38.24448175971281,6641.43076556893,1125.0347224979405,869.3827636013481,125.3489439792508,84.25293371792505,-1.0575862270788925,3.6663063238388327,952.0,2.5036109773712085,577,0.7733255634737423,0.32996146435452794,0.3241811175337187,0.34585741811175336
Rh2010,0,657.3443432042521,131.6101816316667,73.75828985010335,460,17.463933181473045,1061,40.28094153378891,73.75857498090012,648.0,1336.0,0.11220690608115817,0.2002149755942638,94.37014766818788,197.3684210526316,36.58536585365854,17.26867979865048,7010.186812978978,2493.9235889883134,2.810906815241575,73.75952631534997,26.240473684650034,12585.438381566426,3081.327979599135,657.3443432042521,131.6101816316667,73.75857498090012,2.4398720643972487,12.42040949579792,672.0,2.3538344722854974,567,0.8401887253264455,0.2559817698442841,0.49601215343714394,0.24800607671857197
Rh2011,0,879.3159420289855,93.07730608286234,70.37221748041816,393,18.985507246376812,907,43.81642512077295,70.37223407811148,888.0,844.0,0.08003065873652924,0.10585194880930995,69.13175429409046,123.96694214876032,45.18072289156626,8.88682941005977,2770.34751729718,1710.9388372711264,1.619197283355707,61.820363576477014,38.179636423522986,5226.7583308786125,745.4719763103067,879.3159420289855,93.07730608286234,70.37223407811148,-0.47292814829805174,5.540289291015609,904.0,3.4782608695652173,56,0.7143738711195993,0.26727887868535527,0.47559207346544224,0.2571290478492025
Rh2012,0,910.9505684626791,153.93900460859297,106.61588153832427,651,32.17993079584775,743,36.727632229362335,106.61588337361883,948.0,1112.0,0.11703805570212648,0.1689872205342388,68.33973439976334,182.9268292682927,41.666666666666664,15.520074590839418,2311.1590318211097,5249.956394445345,0.44022442439072534,30.566376804570478,69.43362319542952,8357.752399059398,796.6369727929435,910.9505684626791,153.93900460859297,106.61588337361883,-0.6587217992545725,1.7920753005311507,956.0,3.9050914483440433,309,0.7604308789439939,0.2685459940652819,0.5084075173095944,0.22304648862512363
Rh2013,0,967.6744186046511,149.03509757000154,123.37100545812972,698,36.89217758985201,795,42.01902748414376,123.37101867782151,988.0,1236.0,0.12749228077736902,0.15401367929608428,63.85439099028225,120.0,34.56221198156682,12.69566754224173,5143.86335192101,6282.963741796716,0.8187001490557764,45.015675040265705,54.98432495973429,12817.4213126354,1390.5942189176758,967.6744186046511,149.03509757000154,123.37101867782151,-0.4349413461313627,3.4383822154426253,988.0,6.078224101479916,242,0.6576529282284215,0.2966684294024326,0.47593865679534636,0.22739291380222104
Rh2014,0,984.7925151348377,89.72914080980475,37.29087503328819,209,11.502476609796368,699,38.470005503577326,37.29097397612599,992.0,908.0,0.037866833269970694,0.09111476725380985,61.498493198013655,200.0,49.66887417218543,6.69173785801935,960.7524824333606,232.94887886916774,4.124306101395546,80.4851626695825,19.514837330417507,2186.326796259895,992.6254349573669,984.7925151348377,89.72914080980475,37.29097397612599,-0.5814239775448549,1.6492470478797276,1024.0,2.5316455696202533,437,0.9137271052169648,0.2527533039647577,0.5313876651982379,0.21585903083700442
